AC = Catelyn Tully (F)     
AF = Jon Snow (M)          
AI = Arya Stark (F)        
AL = Hoster Tully (M)      
AO = Lysa Tully (F)        
AR = Tytos Lannister (M)   
AU = Kevan Lannister (M)   
AX = Tyrion Lannister (M)  
BA = Myrcella Baratheon (F)
BD = Steffon Baratheon (M) 
BG = Shireen Baratheon (F) 
BJ = Aerys Targaryen (M)   
BM = Elia Martell (F)      
BP = Viserys Targaryen (M) 
BS = Balon Greyjoy (M)     
BV = Urrigon Greyjoy (M)   
BY = Maron Greyjoy (M)     
CB = Alannys Harlaw (F)    
AA = Rickard Stark (M)      
AD = Brandon Stark (M)      
AG = Robb Stark (M)         
AJ = Bran Stark (M)         
AM = Minisa Whent (F)       
AP = Jon Arryn (M)          
AS = Tywin Lannister (M)    
AV = Cersei Lannister (F)   
AY = Robert Baratheon (M)   
BB = Tommen Baratheon (M)   
BE = Stannis Baratheon (M)  
BH = Renly Baratheon (M)    
BK = Rhaella Targaryen (F)  
BN = Rhaenys Targaryen (F)  
BQ = Daenerys Targaryen (F) 
BT = Euron Greyjoy (M)      
BW = Aeron Greyjoy (M)      
BZ = Asha Greyjoy (F)
AB = Eddard Stark (M)       
AE = Benjen Stark (M)       
AH = Sansa Stark (F)        
AK = Rickon Stark (M)       
AN = Edmure Tully (M)       
AQ = Robert Arryn (M)       
AT = Joanna Lannister (F)   
AW = Jamie Lannister (M)    
AZ = Joffrey Baratheon (M)  
BC = Lancel Lannister (M)   
BF = Selyse Florent (F)     
BI = Jaehaerys Targaryen (M)
BL = Rhaegar Targaryen (M)  
BO = Aegon Targaryen (M)    
BR = Quellon Greyjoy (M)    
BU = Victarion Greyjoy (M)  
BX = Rodrik Greyjoy (M)     
CA = Theon Greyjoy (M) 
